Article,Datum,Doublecheck Formula,Formula,Input data type,Input semantics,News-Orga,Position of user input in story,Response on user input,Topic,UI for user input,URL
strangers talking,1. Juni 2025,,,,,The Pudding,,,"Gesellschaft, Wissenschaft",None,https://pudding.cool/2025/06/hello-stranger/
kids book animals,1. Juli 2025,,,category (nominal),Exploratory filtering,The Pudding,Final,Visualization update,Kultur,"Autocomplete/Typeahead, Dropdown",https://pudding.cool/2025/07/kids-books/
nyc street view,1. Juli 2025,,(S → V)₁…₈ → S→ I₁ → V → S,Text,Make a Guess,The Pudding,Mid,Keine Auflösung,Stadt & Architektur,Text Input,https://pudding.cool/2025/07/street-view/
dicing onions,1. August 2025,,"Grenzfall, eigentlich kein User Input, nicht persönlich im semantischen Input-Framing","Numeric (continuous), Numeric (discrete), category (nominal)",Simulation Parameter,The Pudding,Recurring,"Annotation update, Visualization update","Essen, Gesellschaft","Button Based Input, Slider",https://pudding.cool/2025/08/onions/
walkachusetts,1. Oktober 2025,,,,,The Pudding,,,"Gesellschaft, Persönliche Erfahrung",None,https://pudding.cool/2025/10/walk/
democracy,1. November 2025,,,,,The Pudding,,,Politik,None,https://pudding.cool/2025/11/democracy/
"So viel würden Sie verdienen, wenn Sie Beamter wären",20. November 2025,,"S →  ⟦V₁, Au₁⟧ → S₁…₅ → I₁, Vu(I₁), Au₁(I₁) → S → (¬V₁) → S → I₂, Vu(I₂), Au(I₂) → S ","Category (ordinal), Numeric (continuous), Numeric (discrete), category (nominal)","Economic Attributes, Sociodemographic Attributes",ZEIT,Recurring,"Annotation update, Local highlight of user input in visualization, Story update, Visualization update",Wirtschaft,"Button Based Input, Dropdown, Slider",https://www.zeit.de/geld/2025-11/gehalt-beamte-angestellte-vergleich-jobs-rechner
So klimaschädlich leben die Superreichen,18. November 2025,,,,,ZEIT,,,Klima/wetter/Energie/Umwelt,None,https://www.zeit.de/wissen/2025-11/co2-fussabdruck-reiche-emissionen-klima-treibhausgase
So viel müssen Sie im Pflegeheim in Ihrer Region privat zuzahlen,17. November 2025,,,,,ZEIT,,,Sozialpolitik,None,https://www.zeit.de/wirtschaft/2025-11/pflegeheimkosten-altersheim-eigenanteil-bundesland-landkreis
Was die Mütterrente den Millennials wirklich bringt,15. November 2025,,,,,ZEIT,,,"Politik, Sozialpolitik",None,http://zeit.de/wirtschaft/2025-11/muetterrente-frauen-ausbildung-maenner-vergleich
Die AfD plant Milliardengeschenke für Spitzenverdiener,14. November 2025,,,,,ZEIT,,,Steuerpolitik,None,https://www.zeit.de/politik/deutschland/2025-11/afd-steuerkonzept-bundestag-fraktion-spitzenverdiener-entlastung
So könnten Ihre Kinder die Klimakrise erleben,10. November 2025,"ein Teil von I1 bleibt immer sichtbar, während VU, AU, SU kommen, dh, man kann immer neue Updates bekommen → aktuell nicht codiert?",S → I₁ → Au(I₁) → Su(I₁) → S → V → S,"Category (ordinal), Numeric (continuous)","Opinion, Simulation Parameter, Sociodemographic Attributes",ZEIT,Intro,"New Data Story generated based on user input, Persistent user input reference across annotations",Klima/wetter/Energie/Umwelt,"Button Based Input, Slider",https://www.zeit.de/wissen/umwelt/2025-11/klimawandel-zukunft-forschung-rechner-kinder-erderwaermung
Warum zu viele Kaiserschnitte gemacht werden,13. November 2025,,,,,ZEIT,,,"Gesundheit, Sozialpolitik",None,https://www.zeit.de/gesundheit/2025-11/kaiserschnitt-geburt-schwangerschaft-arzt-entscheidung
Schlafen Sie genug?,30. Oktober 2025,VCUU(I1) impliziert VH(I1) - Doppelt Codieren? Exploratory Filter nach I1,S → I₁ → Vcuu(I₁)→ S → V → S →V,"Numeric (continuous), category (nominal)","Behavior, Sociodemographic Attributes",ZEIT,Intro,Visual comparison of user inputs across participants,Gesundheit,"Button Based Input, Slider",https://www.zeit.de/gesundheit/2025-10/schlaf-rechner-erholung-qualitaet-dauer-faq
Wo die Nationalgarde in den USA im Einsatz ist,8. November 2025,,,,,ZEIT,,,Politik,None,https://www.zeit.de/politik/ausland/2025-11/einsatz-nationalgarde-usa-donald-trump-ueberblick
Zahlen Sie Ihrem Kind genug Taschengeld?,7. November 2025,Exploratory Filter nach I1,"S → I₁ → Vcuu(I₁), Au(I₁) → S → V → S ","Geographic, Numeric (continuous)","Economic Attributes, Sociodemographic Attributes",ZEIT,Intro,Visual comparison of user inputs across participants,Gesellschaft,"Button Based Input, Slider",https://www.zeit.de/familie/2025-11/taschengeld-kinder-hoehe-alter-vergleich-eltern
Wo es weniger Hausärzte gibt als früher – und wo sogar mehr,6. November 2025,,,Geographic,Exploratory filtering,ZEIT,Intro,Zoom-in existing visualization based on user input,"Gesundheit, Sozialpolitik",Autocomplete/Typeahead,https://www.zeit.de/wirtschaft/2025-11/hausaerztliche-versorgung-abdeckung-wohnort-karte-entwicklung
Gehören Sie zur politischen Mitte?,4. November 2025,,"S → I₁…₁₃ → (Vcuo(I₁…₁₃), Au(I₁…₁₃)) → (Vcuo(Iₙ), Au(Iₙ))ₙ₌₁…₁₃ → S",Category (ordinal),Opinion,ZEIT,Intro,Visual comparison of user inputs across offical data,Politik,Slider,https://www.zeit.de/politik/deutschland/2025-11/politische-einordnung-fragen-studien-vergleich-interaktion
In diesen Berufen ist die Jobsuche für Akademiker besonders schwer,31. Oktober 2025,,,category (nominal),Exploratory filtering,ZEIT,Recurring,Annotation update,Wirtschaft,Autocomplete/Typeahead,https://www.zeit.de/arbeit/2025-10/arbeitsmarktstatistik-arbeitslosigkeit-fachkraeftemangel-branche-qualifizierung
Lohnt sich eine Wärmepumpe für Ihr Haus?,30. Oktober 2025,,"S → I₁, Vu( I₁), Au( I₁) → S","Binary, Category (ordinal), Numeric (continuous), category (nominal)",Simulation Parameter,ZEIT,Intro,"Annotation update, Visualization update",Konsum/Verbraucher,"Button Based Input, Slider",https://www.zeit.de/wirtschaft/2025-10/heizungsart-rechner-preis-erdgas-waermepumpe
So sieht es im Zentrum des Hurrikans aus,28. Oktober 2025,,,,,ZEIT,,,Klima/wetter/Energie/Umwelt,None,https://www.zeit.de/wissen/umwelt/2025-10/hurrikan-melissa-jamaika-ankunft-zerstoerung-karibik
"Lohnt sich die Ehe für Sie? ",24. Oktober 2025,,"S → I₁, Au(I₁), Vu(I₁) → S → V → S",Numeric (continuous),Economic Attributes,ZEIT,Recurring,"Annotation update, Visualization update",Steuerpolitik,Slider,https://www.zeit.de/arbeit/2025-10/steuervorteile-ehe-einkommen-ersparnis-rechner
Wie die Miete die Lebensqualität bestimmt,23. Oktober 2025,,,Geographic,Exploratory filtering,ZEIT,Intro,Zoom-in existing visualization based on user input,"Konsum/Verbraucher, Wirtschaft",Autocomplete/Typeahead,https://www.zeit.de/wirtschaft/2025-10/nettoeinkommen-miete-gemeinde-mietbelastungsquote-vergleich
Wie zufrieden sind Sie mit Ihrem Leben?,23. Oktober 2025,,"S → ⟦V₁⟧ → I₁ → Su(I₁), V₁u(I₁) → S₁…₃→ (¬V₁) → S → V → S",Category (ordinal),Personal Subjective,ZEIT,Intro,"Annotation update, Local highlight of user input in visualization, Story update",Gesellschaft,Slider,https://www.zeit.de/familie/2025-10/lebenszufriedenheit-kinder-eltern-familiengruendung-vergleich
Was wir über die 184 Milliardäre in Deutschland wissen,21. Oktober 2025,,,,,ZEIT,,,Wirtschaft,None,https://www.zeit.de/geld/2025-10/milliardaere-deutschland-reichste-deutsche-vermoegen-unternehmer
Stirbt Social Media?,20. Oktober 2025,,,,,ZEIT,,,"Gesellschaft, Technik",None,https://www.zeit.de/digital/2025-10/interesse-soziale-medien-deutschland-entwicklung-statistik
2026 sind fünf Landtagswahlen. Überall könnte die Regierung verlieren,16. Oktober 2025,,,,,ZEIT,,,Politik,None,https://www.zeit.de/politik/deutschland/2025-10/sonntagsfrage-landtagswahlen-2026-wahltrends-umfrage
"Ein Produkt, zwei Preise: Finden Sie Ihre Lieblingsmarken – in günstig",16. Oktober 2025,,,,,ZEIT,,,Konsum/Verbraucher,None,https://www.zeit.de/geld/2025-10/markenprodukt-eigenmarke-produktion-preis-vergleich-tool
Wie TikTok die Stimmen von Hunderttausenden Wählern beeinflusst hat,15. Oktober 2025,,,,,ZEIT,,,"Politik, Technik",None,https://www.zeit.de/politik/deutschland/2025-10/soziale-medien-tiktok-wahleinfluss-reichweite-afd-die-linke
Ein lebloser Körper. Die Jacke seiner Frau erkennt er sofort.,10. Oktober 2025,,,,,ZEIT,,,Verkehr/Infrastruktur,None,https://www.zeit.de/mobilitaet/2025-10/toedliche-fahrradunfaelle-2024-radfahrer-unfallbilanz-verkehrssicherheit
Kennen Sie diese Technik von früher noch?,5. Oktober 2025,,,,,ZEIT,,,Technik,None,https://www.zeit.de/digital/2025-10/nostalgie-technik-geraeusche-retro-erinnerung
Wie weit darf Ihr Kind allein gehen?,1. Oktober 2025,"Vis update komisch, daher unklar, ob I1 in alle darauffolgenden VCUU(In) mit reingenommen werden soll","S → I₁ → Au(I₁) → (Iₙ → Vcuu(Iₙ))ₙ₌₂…₈ → S → I₉
","Binary, Numeric (continuous), Text, category (nominal)","Behavior, Sociodemographic Attributes",ZEIT,Recurring,Visual comparison of user inputs across participants,Gesellschaft,"Button Based Input, Slider, Text Input",https://www.zeit.de/familie/2025-10/bewegungsradius-kinder-selbststaendigkeit-erziehung-vergleich
Zahlt Bayern wirklich so viel mehr?,3. Oktober 2025,,,,,ZEIT,,,Politik,None,https://www.zeit.de/wirtschaft/2025-10/laenderfinanzausgleich-bayern-markus-soeder-steuern-daten
In diesen Branchen brechen die meisten Jobs weg,2. Oktober 2025,,,category (nominal),Exploratory filtering,ZEIT,Final,Annotation update,Wirtschaft,Autocomplete/Typeahead,https://www.zeit.de/wirtschaft/2025-10/arbeitslosenzahlen-branchen-berufsgruppen-offene-stellen-entwicklungen
Wie riskant ist Ihr Alkoholkonsum?,30. September 2025,,"S → I₁, Au(I₁), Vcuo(I₁) → (S → V)₁…₄ → S","Binary, Category (ordinal), Numeric (discrete), category (nominal)","Behavior, Sociodemographic Attributes",ZEIT,Intro,"Annotation update, Visual comparison of user inputs across offical data, Visualization update","Gesundheit, Konsum/Verbraucher","Button Based Input, Stepper",https://www.zeit.de/gesundheit/2025-09/alkoholkonsum-rechner-vergleich-gesundheitsrisiko-studie
Das sind die touristen(freien) Regionen in den Metropolen,28. September 2025,,,Geographic,Exploratory filtering,ZEIT,Recurring,Zoom-in existing visualization based on user input,Tourismus,Autocomplete/Typeahead,https://www.zeit.de/zeit-magazin/2025-09/grossstaedte-metropolen-touristen-einheimische-stadtviertel
Wie gut passt mein Job zu mir?,26. September 2025,,"S → I₁…₁₂ → (Vcuu(Iₙ), Au(Iₙ))ₙ₌₁…₁₂ → S
",Category (ordinal),"Opinion, Personal Subjective",ZEIT,Intro,"Annotation update, Visual comparison of user inputs across participants",Arbeitsmarkt,Slider,https://www.zeit.de/arbeit/2025-09/zufriedenheit-job-berufswahl-arbeitgeber-job-crafting
O r d n u n g s r u f ! Warum es immer mehr werden,25. September 2025,,,,,ZEIT,,,Politik,None,https://www.zeit.de/politik/deutschland/2025-09/ordnungsrufe-bundestag-afd-abgeordnete-zwischenrufe-statistik
Warum die AfD an der Union vorbeizieht,24. September 2025,,,,,ZEIT,,,Politik,None,https://www.zeit.de/politik/deutschland/2025-09/wahltrend-umfrage-bundestagswahl-afd-union
"Wer wenig hat, ist in ihren Augen selbst schuld",16. September 2025,,,,,ZEIT,,,Politik,None,https://www.zeit.de/politik/deutschland/2025-09/rechtspopulismus-armut-umverteilung-sozialpolitik-afd
Wo die AfD am meisten zulegen konnte,15. September 2025,,,,,ZEIT,,,Politik,None,https://www.zeit.de/politik/deutschland/2025-09/kommunalwahl-nrw-2025-ergebnisse-karten
"Alle raus, aber wohin?",10. September 2025,,,,,ZEIT,,,Politik,None,https://www.zeit.de/politik/ausland/2025-09/gaza-stadt-flucht-israel-militaer-offensive
Wer braucht denn heute noch Programmierer?,8. September 2025,,,,,ZEIT,,,Arbeitsmarkt,None,https://www.zeit.de/arbeit/2025-09/it-arbeitsmarkt-softwareentwickler-chancen-arbeitslosigkeit-gxe
Lohnt sich ein E-Auto für Sie? Testen Sie es mit unserem Rechner,3. September 2025,,"S, ⟦V₁⟧ → S₁…₆ → I₁, V₁u(I₁), V₁h(I₁) → (¬V₁) → S → V → S","Binary, Numeric (continuous), category (nominal)","Behavior, Cost Parameter, Personal Subjective",ZEIT,Intro,"Annotation update, Visualization update","Konsum/Verbraucher, Technik","Button Based Input, Checkbox, Slider",https://www.zeit.de/mobilitaet/2025-09/elektroauto-verbrenner-preis-reichweite-rechner
Wie viel verdienen Sie im Vergleich zu anderen?,27. August 2025,"tricky, Vis bleibt die ganze Zeit dieselbe, Annotationen und Stories werden beim Scrollen darüber gespielt, auch die AU(I1) wird dadurch immer wieder sichtbar → wie codieren?","S → ⟦V₁⟧ → S, I₁, ⟦Au(I₁)⟧ → S₁…7 →  (¬Au(I₁)) → S₁…₃ → (¬V₁) → S, I₂ →(Nds₁(I₂)→(S(I₂), Vc(I₂) → S(I₂) → I₂ →(Nds₁(I₂) →…)→ S(I₂) → Vc(I₂) → S(I₂) → I₃, Vc(I₂,₃)) → S",category (nominal),Sociodemographic Attributes,ZEIT,Recurring,"New Data Story generated based on user input, Persistent user input reference across annotations",Arbeitsmarkt,Autocomplete/Typeahead,https://www.zeit.de/arbeit/2025-08/gehaelter-berufe-vergleich-deutschland
Warum Endometriose so schmerzhaft ist,29. August 2025,,,,,ZEIT,,,Gesundheit,None,https://www.zeit.de/gesundheit/2025-08/endometriose-frauen-koerper-erkrankung-gebaermutter
Ein Superblackout? Eine reale Gefahr in Deutschland,25. August 2025,,,,,ZEIT,,,Technik,None,https://www.zeit.de/digital/2025-08/sicherheit-solaranlagen-wechselrichter-angriff-hacker
Wie viel Geld macht glücklich?,20. August 2025,,S → I₁ → Vcuu(I₁) → (S → V)₁…₃ → S,"Category (ordinal), Numeric (continuous), Numeric (discrete), category (nominal)","Economic Attributes, Sociodemographic Attributes",ZEIT,Intro,Visual comparison of user inputs across participants,"Gesellschaft, Gesundheit","Button Based Input, Slider",https://www.zeit.de/geld/2025-08/zufriedenheit-geld-glueck-einkommen-grenze-vergleich
So außergewöhnlich ist das Sommerwetter in Ihrer Stadt,14. August 2025,,,Geographic,Exploratory filtering,ZEIT,Intro,Visualization update,Klima/wetter/Energie/Umwelt,Autocomplete/Typeahead,https://www.zeit.de/wissen/2025-08/temperatur-in-staedten-europa-wetter-vergleich
Es geht aufwärts,27. November 2025,,,,,ZEIT,,,Politik,None,https://www.zeit.de/wirtschaft/bundesregierung-tracker-performance-wirtschaft-bip-arbeitslosigkeit
Was hat die neue Regierung gut gemacht? Und was nicht?,14. August 2025,,"S, I1, VCUU(I1), S, I2, VCUU(I2), S, I3, VCUU(I3), I4, VCUU(I4), S, I5, VCUU(I5), S, I6, VCUU(I6), I7, VCUU(I7), S, I8, VCUU(I8), S, I9, VCUU(I9), I10, VCUU(I10), S, I11, VCUU(I1), S, I2, VCUU(I2), I13, VCUU(I13), S, I4, VCUU(I4), S, I15, VCUU(I5), I16, VCUU(I16), S, I7, VCUU(I7), S, VCUU(I1-17)",Category (ordinal),Opinion,ZEIT,Recurring,"Local highlight of user input in visualization, Visual comparison of user inputs across participants",Politik,Slider,https://www.zeit.de/politik/deutschland/2025-08/schwarz-rote-koalition-100-tage-bundesregierung-friedrich-merz-bilanz
Wo sich Arbeit am meisten lohnt,13. August 2025,,,,,ZEIT,,,"Arbeitsmarkt, Sozialpolitik",None,https://www.zeit.de/politik/deutschland/2025-08/buergergeld-mindestlohn-lohnunterschied-arbeitsmarkt-landkreise
Warum die Luftbrücke den Hunger nicht beenden kann,8. August 2025,,,,,ZEIT,,,Politik,None,https://www.zeit.de/politik/ausland/2025-08/luftbruecke-gazastreifen-bundeswehr-lebensmittel-nahostkonflikt
So könnte das Wetter im Jahr 2100 bei Ihnen aussehen,6. August 2025,,"S → ⟦V₁⟧ → S→ S → S → I₁→ (Vu( I₁), Au( I₁)) → (¬V₁) → S",Geographic,"Simulation Parameter, Sociodemographic Attributes",ZEIT,Mid,"Annotation update, Local highlight of user input in visualization, Visualization update",Klima/wetter/Energie/Umwelt,Autocomplete/Typeahead,https://www.zeit.de/wissen/2025-08/klimawandel-staedte-klimazwillinge-zukunft-erderwaermung
Wie viel zahle ich ein – und was krieg ich an Rente raus?,31. Juli 2025,Wie Scrollys formalisieren?,"S → (I₁, Au(I₁), Vcuo(I₁), Au(I₁), Au(I₁)) → S → ⟦V⟧ → S → (Au(I₁), Su(I₁)) → (Au(I₁), Su(I₁)) → (¬V) → ⟦Vh(I₁), Au(I₁)⟧ → S → S → S → S → S → (¬Vh(I₁), ¬Au(I₁)) → S → V → V → V → S","Date, category (nominal)",Sociodemographic Attributes,ZEIT,Intro,"Local highlight of user input in visualization, Persistent user  input reference across story paragraphs, Persistent user input reference across annotations","Arbeitsmarkt, Sozialpolitik","Button Based Input, Slider",https://www.zeit.de/wirtschaft/2025-07/rendite-rente-geburtsjahr-einzahlung-auszahlung-vergleich
Warum eines der schwersten Erdbeben glimpflich ausgegangen ist,30. Juli 2025,,,,,ZEIT,,,Klima/wetter/Energie/Umwelt,None,https://www.zeit.de/wissen/2025-07/tsunami-erdbeben-pazifik-russland-japan-usa-karten
Rücktritt – oder nicht? Entscheiden Sie!,29. Juli 2025,,S → (Iₙ → Vcuu(Iₙ))ₙ₌₁…₂₀ → S,Binary,Opinion,ZEIT,Intro,Visual comparison of user inputs across participants,Politik,Button Based Input,https://www.zeit.de/politik/deutschland/2025-07/fehler-von-politikern-ruecktritt-fehlerkultur
So viel verdienen Menschen in Ihrem Wohnort,25. Juli 2025,,"S → ⟦V₁⟧ → I₁, Au(I₁) → ⟦V₁h(I₁)⟧, Au(I₁), S → S → (¬V) → S,⟦Vh(I₁), Au(I₁)⟧ → S → S → S → S → S → S → S → (¬V) → ⟦Vh(I₁), Au(I₁)⟧ → S → S → (¬Vh(I₁), ¬Au(I₁)) → I₂ → Nds(I₂) → S",Geographic,Sociodemographic Attributes,ZEIT,Recurring,"New Data Story generated based on user input, Persistent user input reference across annotations",Arbeitsmarkt,Autocomplete/Typeahead,https://www.zeit.de/arbeit/2025-07/gehaltsvergleich-gemeinden-deutschland-gehaelter-gehaltssteigerungen
Wo Krankenhäuser den Tod bedeuten,24. Juli 2025,,,,,ZEIT,,,Politik,None,https://www.zeit.de/politik/ausland/2025-07/israelische-angriffe-gaza-kriegsverbrechen-krankenhaus-satellitenbilder
Ohne die USA steht Europa gegen Russland schwach da,23. Juli 2025,,,,,ZEIT,,,Politik,None,https://www.zeit.de/politik/ausland/2025-07/nato-kriegstuechtigkeit-faehigkeiten-usa-militaer
Es ist nicht nur der Suff,21. Juli 2025,,,,,ZEIT,,,Verkehr/Infrastruktur,None,https://www.zeit.de/mobilitaet/2025-07/e-scooter-unfaelle-verkehr-elektro-roller-daten
Ein Eigenheim? Ist hier wieder für Sie drin,17. Juli 2025,,"S → ⟦V₁⟧ → S₁…₃ → (I₁, Vu(I₁)) → (¬V₁) → S → V → S → V → S",Geographic,Sociodemographic Attributes,ZEIT,Intro,"Local highlight of user input in visualization, Visualization update",Mieten & Wohnen,Autocomplete/Typeahead,https://www.zeit.de/geld/2025-07/immobilienpreise-erschwinglichkeit-haus-wohnung-immobilienmarkt
Wo Männer doppelt so viel Rente bekommen wie Frauen,17. Juli 2025,,,,,ZEIT,,,"Arbeitsmarkt, Sozialpolitik",None,https://www.zeit.de/wirtschaft/2025-07/rentenverteilung-deutschland-region-geschlecht-unterschiede-paygap
Wie gut verstehen Sie Hunde?,16. Juli 2025,,"S → (Iₙ → Au(Iₙ), Su(Iₙ))ₙ₌₁…₁₃ → (Vcuu(I₁…₁₃), Au(I₁…₁₃), Su(I₁…₁₃)",category (nominal),Make a Guess,ZEIT,Intro,"Annotation update, Story update",Gesellschaft,Checkbox,https://www.zeit.de/wissen/2025-07/koerpersprache-hunde-haustier-verstehen-test
Wie gefährlich ist der Schulweg Ihres Kindes?,21. Juli 2025,,"S → ⟦V₁⟧ → I₁ → V₁u(I₁), Au(I₁), Vcuo(I₁) →  (¬V₁) → S → V → S → V → S","Geographic, category (nominal)","Behavior, Sociodemographic Attributes",ZEIT,Intro,"Visualization update, Zoom-in existing visualization based on user input",Verkehr/Infrastruktur,"Autocomplete/Typeahead, Button Based Input",https://www.zeit.de/mobilitaet/2025-07/verkehrsunfaelle-strassenverkehr-routen-karte-daten
So viel Geld sollten Sie in Ihrem Alter gespart haben,29. Juli 2025,,"S → I₁ → (Su(I₁), Vh(I₁), Au(I₁) → (Su(I₁), Vh(I₁), Au(I₁)) → S → V → S → V→ S → V → S → V → S → V → S",Numeric (continuous),"Economic Attributes, Sociodemographic Attributes",ZEIT,Intro,Annotation update,"Gesellschaft, Vermögen",Slider,https://www.zeit.de/geld/2025-07/vermoegen-sparen-alter-vergleich-verteilung
Wo in Deutschland die Wege am kürzesten sind,8. Juli 2025,,,Geographic,Exploratory filtering,ZEIT,Intro,Zoom-in existing visualization based on user input,"Gesellschaft, Stadt & Architektur",Autocomplete/Typeahead,https://www.zeit.de/wirtschaft/2025-07/15-minuten-stadt-raumforschung-stadtplanung-alltagswege-daten
Wieso fehlen 86 Tote in den Zahlen?,7. Juli 2025,,,,,ZEIT,,,Verbrechen/Konflikt,None,https://www.zeit.de/gesellschaft/2025-07/todesopfer-rechter-gewalt-faelle-statistik-personen
Hier entstehen Russlands Drohnen,4. Juli 2025,,,,,ZEIT,,,Politik,None,https://www.zeit.de/politik/ausland/2025-07/drohnenfabrik-russland-alabuga-satellitenbilder-militaer
Hier ist die Hitze am extremsten,2. Juli 2025,,,,,ZEIT,,,Klima/wetter/Energie/Umwelt,None,https://www.zeit.de/wissen/2025-07/hitze-europa-hoechsttemperaturen-vergleich-daten
